
"OWNER","CONSTRAINT_NAME","COLUMN_NAME","POSITION"
"RECON_TEST","CK_EMP_SAL","SAL",
"RECON_TEST","FK_EMP_DEPT","DEPTNO",1
"RECON_TEST","FK_EMP_MGR","MGR",1
"RECON_TEST","PK_DEPT","DEPTNO",1
"RECON_TEST","PK_EMP","EMPNO",1
"RECON_TEST","PK_INVOICES","INVOICE_ID",1
"RECON_TEST","PK_LEGACY_NOTES","NOTE_ID",1
"RECON_TEST","PK_PRODUCT_SPECS","PRODUCT_ID",1
"RECON_TEST","SYS_C008238","DNAME",
"RECON_TEST","SYS_C008240","ENAME",
"RECON_TEST","SYS_C008245","INVOICE_ID",
"RECON_TEST","SYS_C008246","CUSTOMER",
"RECON_TEST","SYS_C008247","NET_AMOUNT",
"RECON_TEST","SYS_C008249","SALE_ID",
"RECON_TEST","SYS_C008250","SALE_DATE",
"RECON_TEST","SYS_C008253","AUDIT_ID",
"RECON_TEST","SYS_C008254","DNAME",
"RECON_TEST","SYS_C008255","REF_ID",1
