
"OWNER","OBJECT_NAME","OBJECT_TYPE","STATUS","CREATED","LAST_DDL_TIME"
"RECON_TEST","DEPT_HEADCOUNT","FUNCTION","VALID","2026-08-11 22:57:09","2026-08-11 22:57:09"
"RECON_TEST","I_SNAP$_MV_DEPT_SALARIES","INDEX","VALID","2026-08-11 22:57:08","2026-08-11 22:57:08"
"RECON_TEST","PK_DEPT","INDEX","VALID","2026-08-11 22:56:56","2026-08-11 22:56:56"
"RECON_TEST","PK_EMP","INDEX","VALID","2026-08-11 22:56:56","2026-08-11 22:56:56"
"RECON_TEST","PK_INVOICES","INDEX","VALID","2026-08-11 22:56:56","2026-08-11 22:56:56"
"RECON_TEST","PK_LEGACY_NOTES","INDEX","VALID","2026-08-11 22:56:56","2026-08-11 22:56:56"
"RECON_TEST","PK_PRODUCT_SPECS","INDEX","VALID","2026-08-11 22:56:59","2026-08-11 22:56:59"
"RECON_TEST","NIGHTLY_ROLLUP","JOB","VALID","2026-08-11 22:57:09","2026-08-11 22:57:09"
"RECON_TEST","MV_DEPT_SALARIES","MATERIALIZED VIEW","VALID","2026-08-11 22:57:08","2026-08-11 22:57:08"
"RECON_TEST","PKG_LEDGER","PACKAGE","VALID","2026-08-11 22:57:09","2026-08-11 22:57:09"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY","VALID","2026-08-11 22:57:09","2026-08-11 22:57:09"
"RECON_TEST","FIND_MANAGER","PROCEDURE","VALID","2026-08-11 22:57:09","2026-08-11 22:57:09"
"RECON_TEST","SEQ_SALE_ID","SEQUENCE","VALID","2026-08-11 22:57:00","2026-08-11 22:57:00"
"RECON_TEST","STAFF","SYNONYM","VALID","2026-08-11 22:57:08","2026-08-11 22:57:08"
"RECON_TEST","AUDIT_LOG","TABLE","VALID","2026-08-11 22:57:00","2026-08-11 22:57:00"
"RECON_TEST","DEPT","TABLE","VALID","2026-08-11 22:56:55","2026-08-11 22:56:55"
"RECON_TEST","EMP","TABLE","VALID","2026-08-11 22:56:56","2026-08-11 22:56:56"
"RECON_TEST","INVOICES","TABLE","VALID","2026-08-11 22:56:56","2026-08-11 22:56:56"
"RECON_TEST","LEGACY_NOTES","TABLE","VALID","2026-08-11 22:56:56","2026-08-11 22:56:56"
"RECON_TEST","MV_DEPT_SALARIES","TABLE","VALID","2026-08-11 22:57:08","2026-08-11 22:57:08"
"RECON_TEST","PRODUCT_SPECS","TABLE","VALID","2026-08-11 22:56:59","2026-08-11 22:56:59"
"RECON_TEST","SALES","TABLE","VALID","2026-08-11 22:56:56","2026-08-11 22:56:56"
"RECON_TEST","STAGING_ROWS","TABLE","VALID","2026-08-11 22:57:00","2026-08-11 22:57:00"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER","VALID","2026-08-11 22:57:09","2026-08-11 22:57:09"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER","VALID","2026-08-11 22:57:09","2026-08-11 22:57:09"
"RECON_TEST","T_MONEY","TYPE","VALID","2026-08-11 22:57:08","2026-08-11 22:57:08"
"RECON_TEST","T_MONEY","TYPE BODY","VALID","2026-08-11 22:57:09","2026-08-11 22:57:09"
"RECON_TEST","V_EMP_DEPT","VIEW","VALID","2026-08-11 22:57:06","2026-08-11 22:57:06"
"RECON_TEST","V_ORG_CHART","VIEW","VALID","2026-08-11 22:57:06","2026-08-11 22:57:06"
